!------------------------------------------------------------
!      2  FF.PIP00B
!#-----------------------------
! Step index:   0
! S-position:    0.000000
!         Z   Charge/Meter    CSR_Kick/m       I_CSR/m      S_Source
    0.000941  1.987959E-08  0.000000E+00 -0.000000E+00 -5.439231E+01
    0.001096  1.631056E-08  0.000000E+00 -0.000000E+00 -5.648471E+01
    0.001251  1.323942E-08  0.000000E+00 -0.000000E+00 -5.857710E+01
    0.001406  1.001855E-08  0.000000E+00 -0.000000E+00 -6.066950E+01
    0.001560  7.822311E-09  0.000000E+00 -0.000000E+00 -6.276190E+01
    0.001715  5.782586E-09  0.000000E+00 -0.000000E+00 -6.485429E+01
    0.001870  4.125199E-09  0.000000E+00 -0.000000E+00 -6.694669E+01
    0.002025  2.858318E-09  0.000000E+00 -0.000000E+00 -6.903909E+01
    0.002180  1.939823E-09  0.000000E+00 -0.000000E+00 -7.113148E+01
    0.002335  1.252117E-09  0.000000E+00 -0.000000E+00 -7.322388E+01
    0.002490  8.161092E-10  0.000000E+00 -0.000000E+00 -7.531628E+01
    0.002645  4.699513E-10  0.000000E+00 -0.000000E+00 -7.740867E+01
    0.002799  3.938200E-10  0.000000E+00 -0.000000E+00 -7.950107E+01
    0.002954  6.214778E-11  0.000000E+00 -0.000000E+00 -8.159347E+01
    0.003109  0.000000E+00  0.000000E+00 -0.000000E+00 -8.368586E+01
!#-----------------------------
! Step index:   2
! S-position:    0.020000
!         Z   Charge/Meter    CSR_Kick/m       I_CSR/m      S_Source
   -0.002931  0.000000E+00  0.000000E+00 -0.000000E+00 -2.072394E+00
   -0.002776  6.214784E-11  0.000000E+00 -0.000000E+00 -4.164789E+00
   -0.002621  5.083888E-10  0.000000E+00 -0.000000E+00 -6.257183E+00
   -0.002466  8.897378E-10  0.000000E+00 -0.000000E+00 -8.349578E+00
   -0.002311  1.396902E-09  0.000000E+00 -0.000000E+00 -1.044197E+01
   -0.002156  2.093117E-09  0.000000E+00 -0.000000E+00 -1.253437E+01
   -0.002002  3.116200E-09  0.000000E+00 -0.000000E+00 -1.462676E+01
   -0.001847  4.399179E-09  0.000000E+00 -0.000000E+00 -1.671916E+01
   -0.001692  5.811949E-09  0.000000E+00 -0.000000E+00 -1.881155E+01
   -0.001537  8.229390E-09  0.000000E+00 -0.000000E+00 -2.090394E+01
   -0.001382  1.061253E-08  0.000000E+00 -0.000000E+00 -2.299634E+01
   -0.001227  1.393218E-08  0.000000E+00 -0.000000E+00 -2.508873E+01
   -0.001072  1.695694E-08  0.000000E+00 -0.000000E+00 -2.718113E+01
